index,state,agency_type,agency_name,population_1,total_offenses,crimes_against_persons,crimes_against_property,crimes_against_society,assault_offenses,aggravated_assault,simple_assault,intimidation,homicide_offenses,murder_and_nonnegligent_manslaughter,negligent_man_slaughter,justifiable_homicide,human_trafficking_offenses,commercial_sex_acts,involuntary_servitude,kidnapping_abduction,sex_offenses,rape,sodomy,sexual_assault_with_an_object,fondling,incest,statutory_rape,arson,bribery,burglary_breaking_&_entering,counter_feiting_forgery,destruction_damage_vandalism_of_property,embezzle_ment,extortion_blackmail,fraud_offenses,false_pretenses_swindle_confidence_game,credit_card_automated_teller_machine_fraud,imper_sonation,welfare_fraud,wire_fraud,identity_theft,hacking_computer_invasion,larceny_theft_offenses,pocket_picking,purse_snatching,shop_lifting,theft_from_building,theft_from_coin_op_erated_machine_or_device,theft_from_motor_vehicle,theft_of_motor_vehicle_parts_or_acces_sories,all_other_larceny,motor_vehicle_theft,robbery,stolen_property_offenses,animal_cruelty,drug_narcotic_offenses,drug_narcotic_violations,drug_equipment_violations,gambling_offenses,betting_wagering,operating_promoting_assisting_gambling,gambling_equipment_violations,sports_tampering,por_nography_obscene_material,pros_titution_offenses,pros_titution,assisting_or_promoting_prostitution,purchasing_prostitution,weapon_law_violations
3266,MONTANA,Nonmetropolitan Counties,Fergus,,79.0,27.0,41.0,11.0,24.0,10.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,19.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3267,MONTANA,Nonmetropolitan Counties,Flathead,,2140.0,594.0,1265.0,281.0,515.0,154.0,293.0,68.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,71.0,25.0,0.0,1.0,38.0,5.0,2.0,5.0,0.0,129.0,46.0,273.0,1.0,2.0,85.0,29.0,17.0,0.0,0.0,0.0,39.0,0.0,559.0,1.0,0.0,41.0,44.0,0.0,106.0,19.0,348.0,148.0,6.0,11.0,6.0,265.0,183.0,82.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0
3268,MONTANA,Nonmetropolitan Counties,Gallatin,,1142.0,370.0,639.0,133.0,277.0,88.0,154.0,35.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,86.0,35.0,1.0,2.0,40.0,6.0,2.0,2.0,0.0,23.0,11.0,159.0,3.0,0.0,67.0,17.0,1.0,0.0,3.0,0.0,46.0,0.0,331.0,1.0,1.0,18.0,53.0,2.0,42.0,11.0,203.0,43.0,0.0,0.0,10.0,118.0,69.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0
3269,MONTANA,Nonmetropolitan Counties,Garfield,,8.0,2.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3270,MONTANA,Nonmetropolitan Counties,Glacier,,96.0,35.0,55.0,6.0,33.0,10.0,19.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,17.0,9.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3271,MONTANA,Nonmetropolitan Counties,Golden Valley,,9.0,7.0,2.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3272,MONTANA,Nonmetropolitan Counties,Granite,,56.0,20.0,32.0,4.0,20.0,2.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3273,MONTANA,Nonmetropolitan Counties,Hill,,345.0,97.0,179.0,69.0,88.0,24.0,45.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,8.0,3.0,52.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,95.0,0.0,0.0,36.0,4.0,0.0,3.0,0.0,52.0,9.0,1.0,0.0,4.0,62.0,29.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
3274,MONTANA,Nonmetropolitan Counties,Jefferson,,342.0,125.0,155.0,62.0,104.0,22.0,53.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,1.0,1.0,0.0,10.0,0.0,0.0,2.0,0.0,15.0,0.0,36.0,0.0,0.0,25.0,1.0,0.0,0.0,2.0,1.0,21.0,0.0,66.0,0.0,0.0,3.0,11.0,0.0,12.0,4.0,36.0,10.0,1.0,0.0,3.0,56.0,32.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3275,MONTANA,Nonmetropolitan Counties,Lake,,906.0,312.0,479.0,115.0,268.0,111.0,105.0,52.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,37.0,14.0,0.0,2.0,17.0,3.0,1.0,8.0,0.0,61.0,8.0,78.0,0.0,0.0,34.0,12.0,0.0,0.0,0.0,0.0,22.0,0.0,210.0,0.0,0.0,0.0,30.0,2.0,22.0,7.0,149.0,74.0,6.0,0.0,0.0,111.0,61.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
3276,MONTANA,Nonmetropolitan Counties,Lewis and Clark,,846.0,222.0,526.0,98.0,186.0,71.0,103.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0,13.0,2.0,0.0,10.0,0.0,1.0,1.0,0.0,58.0,7.0,128.0,2.0,0.0,63.0,15.0,15.0,0.0,0.0,0.0,33.0,0.0,224.0,0.0,1.0,3.0,12.0,0.0,43.0,7.0,158.0,40.0,3.0,0.0,3.0,93.0,57.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3277,MONTANA,Nonmetropolitan Counties,Liberty,,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3278,MONTANA,Nonmetropolitan Counties,Lincoln,,179.0,59.0,67.0,53.0,52.0,14.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,14.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,0.0,0.0,2.0,7.0,0.0,6.0,2.0,23.0,4.0,0.0,0.0,2.0,51.0,30.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3279,MONTANA,Nonmetropolitan Counties,Madison,,160.0,41.0,89.0,30.0,29.0,7.0,19.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,11.0,0.0,26.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,34.0,0.0,0.0,2.0,6.0,0.0,3.0,0.0,23.0,8.0,0.0,0.0,1.0,28.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3280,MONTANA,Nonmetropolitan Counties,McCone,,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3281,MONTANA,Nonmetropolitan Counties,Meagher,,27.0,14.0,12.0,1.0,11.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3282,MONTANA,Nonmetropolitan Counties,Mineral,,138.0,54.0,56.0,28.0,54.0,18.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,14.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,24.0,0.0,0.0,0.0,3.0,0.0,5.0,3.0,13.0,7.0,0.0,0.0,0.0,27.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3283,MONTANA,Nonmetropolitan Counties,Musselshell,,136.0,40.0,64.0,32.0,38.0,27.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,26.0,9.0,0.0,1.0,1.0,31.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3284,MONTANA,Nonmetropolitan Counties,Park,,166.0,44.0,74.0,48.0,35.0,7.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,19.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0,1.0,9.0,0.0,5.0,3.0,16.0,6.0,1.0,1.0,0.0,47.0,27.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3285,MONTANA,Nonmetropolitan Counties,Phillips,,156.0,70.0,79.0,7.0,61.0,16.0,41.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,33.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,23.0,5.0,0.0,0.0,1.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3286,MONTANA,Nonmetropolitan Counties,Pondera,,54.0,15.0,17.0,22.0,14.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,21.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
