state,agency_type,agency_name,population_1,total_offenses,crimes_against_persons,crimes_against_property,crimes_against_society,assault_offenses,aggravated_assault,simple_assault,intimidation,homicide_offenses,murder_and_nonnegligent_manslaughter,negligent_man_slaughter,justifiable_homicide,human_trafficking_offenses,commercial_sex_acts,involuntary_servitude,kidnapping_abduction,sex_offenses,rape,sodomy,sexual_assault_with_an_object,fondling,incest,statutory_rape,arson,bribery,burglary_breaking_&_entering,counter_feiting_forgery,destruction_damage_vandalism_of_property,embezzle_ment,extortion_blackmail,fraud_offenses,false_pretenses_swindle_confidence_game,credit_card_automated_teller_machine_fraud,imper_sonation,welfare_fraud,wire_fraud,identity_theft,hacking_computer_invasion,larceny_theft_offenses,pocket_picking,purse_snatching,shop_lifting,theft_from_building,theft_from_coin_op_erated_machine_or_device,theft_from_motor_vehicle,theft_of_motor_vehicle_parts_or_acces_sories,all_other_larceny,motor_vehicle_theft,robbery,stolen_property_offenses,animal_cruelty,drug_narcotic_offenses,drug_narcotic_violations,drug_equipment_violations,gambling_offenses,betting_wagering,operating_promoting_assisting_gambling,gambling_equipment_violations,sports_tampering,por_nography_obscene_material,pros_titution_offenses,pros_titution,assisting_or_promoting_prostitution,purchasing_prostitution,weapon_law_violations
,,Elk Rapids,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Elkton,743,13,3,10,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,4,0,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Elsie,980,6,2,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,Emmett Township,11611,929,133,758,38,122,21,96,5,1,1,0,0,0,0,0,1,9,0,4,1,4,0,0,0,0,35,16,63,4,0,93,54,20,4,1,6,8,0,513,1,3,359,21,1,48,11,69,17,5,12,1,28,21,7,0,0,0,0,0,0,0,0,0,0,9
,,Escanaba,12111,780,321,405,54,299,40,210,49,0,0,0,0,0,0,0,0,22,9,5,1,7,0,0,2,0,24,8,74,8,0,17,9,5,1,0,0,2,0,264,3,3,55,49,0,24,3,127,5,0,3,3,38,38,0,0,0,0,0,0,0,0,0,0,0,13
,,Essexville,3257,65,25,30,10,23,3,15,5,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,5,0,9,1,0,7,0,2,4,0,0,1,0,7,0,0,2,1,0,0,0,4,0,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,4
,,Evart,1879,100,25,67,8,21,6,12,3,0,0,0,0,0,0,0,1,3,2,0,0,1,0,0,1,0,6,7,24,1,0,9,5,2,1,0,0,1,0,16,0,0,3,0,0,1,1,11,2,0,1,0,3,2,1,0,0,0,0,0,1,0,0,0,0,4
,,Fair Haven Township,1038,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Farmington,10503,110,40,60,10,37,2,29,6,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,3,2,5,2,0,15,8,1,0,0,4,2,0,30,0,0,1,1,0,9,4,15,1,0,2,0,5,3,2,0,0,0,0,0,0,0,0,0,0,5
,,Farmington Hills,80708,1832,684,1013,135,659,64,434,161,0,0,0,0,0,0,0,1,24,8,2,1,13,0,0,4,0,66,7,182,10,1,227,134,35,0,0,0,57,1,443,1,1,59,96,0,81,63,142,53,9,11,3,96,54,42,0,0,0,0,0,1,0,0,0,0,35
,,Fennville,1433,50,20,21,9,18,2,7,9,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,8,0,0,5,5,0,0,0,0,0,0,7,0,0,2,0,0,2,0,3,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,4
,,Fenton,11369,472,109,342,21,99,10,78,11,0,0,0,0,0,0,0,6,4,1,0,0,3,0,0,2,0,11,10,41,0,1,65,26,13,0,0,2,24,0,200,0,1,142,18,0,10,10,19,9,2,1,0,15,15,0,0,0,0,0,0,0,0,0,0,0,6
,,Ferndale,20048,904,280,539,85,277,41,164,72,1,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1,0,34,5,80,6,0,118,65,3,0,0,1,49,0,231,0,0,39,11,0,83,17,81,50,8,6,0,59,34,25,0,0,0,0,0,3,0,0,0,0,23
,,Flat Rock,10019,420,176,219,25,166,20,114,32,0,0,0,0,0,0,0,0,10,0,2,1,7,0,0,2,0,9,0,73,3,0,35,15,5,14,0,1,0,0,78,1,1,14,14,0,12,6,30,15,4,0,0,21,18,3,0,0,0,0,0,0,0,0,0,0,4
,,Flint,94842,5146,2152,2766,228,1983,812,485,686,44,44,0,0,0,0,0,21,104,45,19,4,34,2,0,20,0,406,8,751,3,2,268,81,73,111,1,2,0,0,1014,1,4,12,22,0,223,70,682,201,83,10,0,94,89,5,0,0,0,0,0,2,0,0,0,0,132
,,Flint Township,30178,2712,751,1694,267,718,256,396,66,6,6,0,0,0,0,0,1,26,13,1,2,10,0,0,13,0,148,25,249,10,1,206,158,23,0,0,1,24,0,865,0,0,425,13,0,104,66,257,109,35,33,0,188,110,78,0,0,0,0,0,3,0,0,0,0,76
,,Flushing,7827,115,36,75,4,33,6,27,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,2,0,11,0,6,1,0,14,5,0,7,0,0,2,0,36,0,0,13,6,0,5,1,11,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
,,Flushing Township,10133,122,52,65,5,50,0,41,9,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,9,0,16,0,0,12,2,2,5,0,0,3,0,24,0,0,0,3,0,5,5,11,3,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,2
,,Forsyth Township,6182,129,81,35,13,73,8,63,2,0,0,0,0,0,0,0,0,8,3,1,0,4,0,0,1,0,1,1,15,0,0,1,0,0,0,0,0,1,0,15,0,0,3,3,0,0,1,8,0,0,1,1,10,8,2,0,0,0,0,0,2,0,0,0,0,0
,,Fowlerville,2895,267,40,172,55,35,3,26,6,1,1,0,0,0,0,0,1,3,0,0,1,2,0,0,0,0,2,6,15,0,1,12,6,3,0,1,1,1,0,129,0,0,105,6,1,3,2,12,4,0,3,0,34,33,1,0,0,0,0,0,1,0,0,0,0,20
,,Frankenmuth,5595,151,33,117,1,31,4,16,11,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,2,7,18,3,0,33,8,5,8,0,0,12,0,48,0,1,8,14,0,12,0,13,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,Frankfort,1291,42,14,20,8,11,3,7,1,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,2,0,3,1,0,3,3,0,0,0,0,0,0,11,0,0,3,2,0,2,0,4,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
,,Franklin,3256,72,12,60,0,12,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,2,34,16,1,0,0,0,17,0,17,0,0,0,1,0,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Fraser,14480,563,181,330,52,168,17,81,70,0,0,0,0,0,0,0,0,13,5,5,0,3,0,0,1,0,12,3,51,7,0,84,29,19,0,0,5,30,1,145,0,0,35,33,1,30,15,31,22,2,3,1,41,29,12,0,0,0,0,0,0,0,0,0,0,10
,,Fremont,4077,181,65,108,8,60,5,38,17,0,0,0,0,0,0,0,0,5,1,1,0,3,0,0,0,0,5,2,26,0,0,13,5,6,0,0,1,1,0,55,0,2,23,4,0,8,1,17,3,1,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,2
,,Fruitport Township,14476,827,120,662,45,113,17,58,38,0,0,0,0,0,0,0,0,7,1,0,1,5,0,0,0,0,15,2,78,2,0,87,28,30,9,0,4,15,1,463,0,0,327,27,1,41,11,56,8,4,3,2,27,27,0,0,0,0,0,0,2,0,0,0,0,14
,,Gagetown,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Gaines Township,6103,35,15,19,1,14,2,7,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,4,0,0,8,2,0,0,0,3,3,0,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,Galien,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Garden City,26282,854,372,401,81,346,37,241,68,0,0,0,0,0,0,0,5,21,6,2,0,13,0,0,0,0,40,4,88,2,1,76,47,10,1,0,2,15,1,138,0,2,22,15,0,29,14,56,31,12,9,1,54,38,16,0,0,0,0,0,1,0,0,0,0,25
,,Garfield Township,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Gaylord,3692,445,158,260,27,150,18,126,6,0,0,0,0,0,0,0,0,8,1,2,1,4,0,0,1,0,5,4,43,6,0,27,18,4,0,0,0,5,0,159,0,1,80,20,0,18,0,40,9,2,4,0,20,17,3,0,0,0,0,0,1,0,0,0,0,6
,,Genesee Township,20325,832,329,452,51,304,94,185,25,2,0,2,0,0,0,0,7,16,7,1,2,6,0,0,1,0,57,7,138,1,0,42,29,3,3,0,1,6,0,155,0,0,16,18,1,46,10,64,31,9,11,0,21,15,6,0,0,0,0,0,2,0,0,0,0,28
,,Gerrish Township,2946,102,51,44,7,50,1,23,26,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,2,6,1,0,6,4,0,0,0,0,2,0,24,0,0,0,3,0,3,0,18,1,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,3
,,Gibraltar,4505,75,14,58,3,12,0,3,9,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,7,1,12,1,0,0,0,0,0,0,0,0,0,30,0,0,1,8,0,4,1,16,7,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1
,,Gladstone,4670,89,35,46,8,31,5,21,5,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,2,1,11,1,0,2,1,1,0,0,0,0,0,29,0,0,1,6,0,3,0,19,0,0,0,1,4,4,0,0,0,0,0,0,1,0,0,0,0,2
,,Gladwin,2887,183,88,82,13,80,17,60,3,0,0,0,0,0,0,0,1,7,1,1,0,5,0,0,1,0,9,3,19,2,0,10,4,3,0,0,1,2,0,26,0,0,6,10,0,0,0,10,9,1,2,0,10,10,0,0,0,0,0,0,0,0,0,0,0,3
,,Grand Beach/Michiana,463,32,3,28,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,2,1,0,0,0,0,1,0,14,0,0,0,0,0,2,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Grand Blanc,7831,245,84,149,12,72,11,41,20,0,0,0,0,0,0,0,1,11,2,2,0,7,0,0,0,0,16,8,27,0,1,32,7,9,8,0,0,7,1,58,0,0,10,8,0,11,5,24,1,5,1,0,9,9,0,0,0,0,0,0,2,0,0,0,0,1
,,Grand Blanc Township,36498,1217,354,738,125,342,55,247,40,0,0,0,0,0,0,0,1,11,7,0,0,4,0,0,2,0,63,8,103,6,2,140,75,15,0,0,1,48,1,363,0,0,217,23,0,30,21,72,40,6,5,0,88,51,37,0,0,0,0,0,1,0,0,0,0,36
,,Grand Haven,11126,414,155,238,21,144,20,107,17,0,0,0,0,0,0,0,4,7,1,3,0,3,0,0,0,0,8,2,57,4,0,49,34,5,10,0,0,0,0,105,0,1,14,11,0,27,3,49,8,1,4,1,14,13,1,0,0,0,0,0,0,0,0,0,0,6
,,Grand Ledge,7908,193,66,112,15,60,3,55,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,9,2,21,5,0,19,2,5,9,0,1,2,0,52,0,0,7,0,0,0,0,45,4,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,2
,,Grand Rapids,202513,12126,4900,6084,1142,4641,1102,3283,256,34,28,6,0,0,0,0,6,219,87,28,11,93,0,0,38,0,465,42,1292,29,9,511,429,69,6,0,1,6,0,2928,37,29,458,49,0,993,28,1334,565,192,13,2,313,313,0,1,0,1,0,0,17,50,48,1,1,759
,,Grandville,15913,886,246,612,28,219,22,164,33,2,2,0,0,0,0,0,0,25,11,2,2,10,0,0,0,0,42,11,86,14,5,86,32,24,27,0,3,0,0,320,2,2,165,43,0,54,5,49,31,10,7,0,14,10,4,0,0,0,0,0,2,0,0,0,0,12
,,Grant,883,48,15,28,5,13,1,7,5,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,8,1,0,3,1,1,0,0,0,1,0,15,0,0,6,3,1,4,0,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
,,Grayling,1848,156,51,74,31,48,9,22,17,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,4,5,17,0,0,9,4,2,0,1,0,2,0,38,0,1,8,7,0,3,1,18,0,0,1,5,24,24,0,0,0,0,0,0,0,0,0,0,0,2
,,Green Oak Township,19154,262,70,187,5,63,7,50,6,0,0,0,0,0,0,0,1,6,2,1,0,3,0,0,0,0,17,3,25,0,1,59,21,10,2,0,1,23,2,76,0,0,21,5,0,19,3,28,4,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3
,,Greenville,8415,731,198,472,61,174,25,137,12,0,0,0,0,0,0,0,0,24,9,3,0,12,0,0,1,0,30,12,70,5,0,48,17,10,4,0,7,9,1,279,0,1,110,49,0,50,5,64,15,4,8,0,41,40,1,0,0,0,0,0,1,0,0,0,0,19
,,Grosse Ile Township,10114,51,15,33,3,14,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,5,0,1,8,5,3,0,0,0,0,0,14,0,0,0,5,0,6,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
,,Grosse Pointe,5127,124,19,103,2,18,4,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,14,1,0,44,22,3,0,1,0,18,0,36,0,0,5,3,0,4,4,20,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,,Grosse Pointe Farms,9077,227,36,161,30,35,2,28,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15,4,17,1,0,50,33,7,0,1,2,7,0,60,0,0,17,4,0,11,2,26,10,1,3,1,20,13,7,0,0,0,0,0,0,0,0,0,0,9
,,Grosse Pointe Park,10998,216,30,171,15,26,9,15,2,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,12,1,26,1,0,23,15,1,0,0,0,7,0,96,0,0,2,6,0,21,6,61,12,0,0,1,10,8,2,0,0,0,0,0,0,0,0,0,0,4
,,Grosse Pointe Shores,2786,56,7,38,11,6,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,0,0,24,9,0,0,0,0,15,0,6,0,0,0,0,0,1,0,5,2,0,0,0,7,3,4,0,0,0,0,0,0,0,0,0,0,4
,,Grosse Pointe Woods,15269,367,91,265,11,86,8,56,22,0,0,0,0,0,0,0,0,5,2,1,0,2,0,0,0,0,15,2,36,0,4,99,55,4,0,0,1,37,2,91,0,0,18,4,0,15,3,51,18,0,0,0,5,3,2,0,0,0,0,0,1,0,0,0,0,5
,,Hamburg Township,21867,182,69,102,11,66,9,49,8,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,7,3,16,0,0,49,13,7,7,0,4,17,1,24,1,0,2,8,0,2,0,11,1,0,2,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0
,,Hampton Township,9354,260,97,147,16,87,11,51,25,0,0,0,0,0,0,0,0,10,5,1,0,4,0,0,0,0,10,3,26,1,0,29,8,6,8,0,1,6,0,71,0,0,16,7,0,12,2,34,5,1,1,1,9,8,1,0,0,0,0,0,0,0,0,0,0,6
,,Hamtramck,21514,1038,368,572,98,342,136,191,15,2,1,1,0,0,0,0,8,16,8,1,1,6,0,0,3,0,61,2,141,0,0,70,54,4,0,0,1,11,0,192,1,1,21,13,0,33,21,102,64,35,4,0,52,31,21,0,0,0,0,0,2,0,0,0,0,44
,,Hancock,4487,89,47,41,1,46,3,41,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,11,0,0,3,2,1,0,0,0,0,0,22,0,0,3,8,0,2,0,9,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,Harbor Beach,1575,96,31,39,26,26,5,14,7,0,0,0,0,0,0,0,0,5,0,0,2,3,0,0,0,0,6,2,4,1,0,3,3,0,0,0,0,0,0,19,0,0,2,3,0,0,2,12,3,0,1,1,19,18,1,0,0,0,0,0,0,0,0,0,0,6
,,Harbor Springs,1207,26,7,18,1,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,8,4,0,0,0,0,4,0,5,0,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Harper Woods,13679,1160,399,687,74,390,128,189,73,3,3,0,0,0,0,0,0,6,4,1,0,1,0,0,2,0,67,8,136,3,2,91,70,6,0,0,0,15,0,247,0,0,85,20,0,21,22,99,106,10,15,2,39,21,18,0,0,0,0,0,1,0,0,0,0,32
,,Hart,2064,330,124,196,10,114,9,66,39,0,0,0,0,0,0,0,2,8,1,0,0,7,0,0,0,0,5,2,29,0,1,23,19,1,1,0,1,1,0,128,0,0,7,3,1,2,2,113,8,0,0,1,4,4,0,0,0,0,0,0,1,0,0,0,0,4
,,Hartford,2582,86,44,33,9,40,13,16,11,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,9,0,1,4,1,1,1,0,0,1,0,18,0,0,1,2,1,10,0,4,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,5
,,Hastings,7307,415,185,170,60,152,18,115,19,0,0,0,0,0,0,0,6,27,12,5,0,10,0,0,2,0,10,10,40,4,1,16,5,6,1,1,0,2,1,80,0,0,16,15,1,16,1,31,7,0,0,1,46,42,4,0,0,0,0,0,3,1,1,0,0,9
,,Hazel Park,16340,755,263,364,128,256,26,203,27,1,1,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,30,7,62,4,0,47,21,9,0,0,0,17,0,169,0,0,68,21,1,26,18,35,20,6,19,1,102,58,44,0,0,0,0,0,2,0,0,0,0,23
,,Hesperia,927,66,25,28,13,19,2,14,3,0,0,0,0,0,0,0,0,6,1,0,1,4,0,0,3,0,6,0,1,0,0,5,5,0,0,0,0,0,0,12,0,0,0,0,0,3,1,8,1,0,0,0,11,11,0,0,0,0,0,0,1,0,0,0,0,1
,,Highland Park,10680,1010,438,476,96,406,160,190,56,8,6,2,0,0,0,0,2,22,9,1,3,9,0,0,8,0,51,8,109,1,0,31,4,10,6,0,2,9,0,172,3,0,46,27,0,34,5,57,60,27,9,2,55,43,12,0,0,0,0,0,0,0,0,0,0,39
,,Highland Township,20281,219,72,143,4,66,5,56,5,0,0,0,0,0,0,0,0,6,4,0,1,1,0,0,0,0,7,0,33,2,0,46,10,13,0,2,2,19,0,42,0,0,2,12,0,10,6,12,11,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2
,,Hillsdale,7972,342,128,168,46,114,5,94,15,0,0,0,0,0,0,0,0,14,1,3,1,9,0,0,1,0,16,7,31,3,1,21,8,4,3,0,0,5,1,74,1,0,4,10,0,16,1,42,9,0,5,0,29,29,0,0,0,0,0,0,1,0,0,0,0,16
,,Holland,33228,1883,755,1004,124,671,79,492,100,0,0,0,0,0,0,0,2,82,35,6,4,37,0,0,3,0,58,17,261,7,0,159,88,32,29,2,4,4,0,454,0,2,110,25,2,48,31,236,28,8,9,2,80,65,15,0,0,0,0,0,1,0,0,0,0,41
,,Holly,6157,136,43,89,4,39,12,23,4,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,2,0,9,3,19,0,0,10,2,5,0,0,1,2,0,41,0,0,1,12,0,15,4,9,5,0,0,0,3,1,2,0,0,0,0,0,1,0,0,0,0,0
,,Houghton,7760,221,61,151,9,52,3,32,17,0,0,0,0,0,0,0,0,9,4,2,0,3,0,0,1,0,3,2,21,2,3,20,7,2,2,0,0,8,1,99,0,2,60,7,0,3,2,25,0,0,0,0,8,8,0,0,0,0,0,0,1,0,0,0,0,0
,,Howell,9620,329,163,150,16,157,19,135,3,0,0,0,0,0,0,0,0,6,2,0,0,4,0,0,1,0,12,0,42,3,1,19,10,8,0,0,0,1,0,62,0,0,5,22,0,12,5,18,7,1,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,10
,,Hudson,2200,124,42,77,5,31,14,13,4,0,0,0,0,0,0,0,0,11,1,3,1,6,0,0,1,0,10,1,12,0,0,15,13,1,0,0,0,1,0,31,0,0,5,13,0,3,1,9,4,0,3,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0
,,Huntington Woods,6268,71,8,62,1,8,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,37,24,1,0,0,0,12,0,18,0,0,0,1,0,3,0,14,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,Huron Township,16288,481,220,223,38,212,28,155,29,1,0,1,0,0,0,0,0,7,2,3,0,2,0,0,0,0,28,0,56,0,0,61,32,3,0,1,6,19,0,62,1,0,3,6,0,7,4,41,9,0,7,6,17,15,2,0,0,0,0,0,2,0,0,0,0,13
,,Imlay City,3567,92,35,49,8,29,4,19,6,0,0,0,0,0,0,0,0,6,5,0,0,1,0,0,0,0,4,0,17,0,0,5,3,0,0,0,1,1,0,17,0,0,1,0,0,2,1,13,5,0,1,0,6,5,1,0,0,0,0,0,0,0,0,0,0,2
,,Independence Township,37302,399,117,268,14,111,12,86,13,0,0,0,0,0,0,0,0,6,2,1,0,3,0,0,4,0,22,7,46,0,3,72,26,14,0,0,5,27,0,105,0,1,19,34,0,27,5,19,6,3,0,0,3,3,0,0,0,0,0,0,4,0,0,0,0,7
,,Inkster,24173,1812,717,1012,83,655,252,316,87,10,10,0,0,0,0,0,3,49,30,4,1,14,0,0,13,0,156,3,309,1,0,86,55,5,0,2,0,24,0,301,2,1,15,6,0,71,18,188,96,25,22,5,37,22,15,0,0,0,0,0,2,0,0,0,0,39
,,Ionia,11153,365,124,197,44,109,7,99,3,0,0,0,0,0,0,0,0,15,10,0,0,5,0,0,0,0,16,5,63,1,1,18,8,6,0,0,2,2,0,81,0,0,6,8,0,7,5,55,11,0,1,1,36,36,0,0,0,0,0,0,0,0,0,0,0,7
,,Iron Mountain,7274,4,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Iron River,2807,99,33,63,3,32,7,22,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,21,0,0,7,3,0,0,0,0,4,0,25,0,1,4,3,0,1,3,13,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
,,Ironwood,4816,157,98,55,4,96,5,69,22,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,0,23,0,0,1,0,0,1,0,0,0,0,22,0,0,4,0,0,0,1,17,6,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1
,,Ishpeming,6410,269,122,75,72,112,17,86,9,0,0,0,0,0,0,0,0,10,4,2,1,3,0,0,0,0,7,2,33,0,0,3,2,1,0,0,0,0,0,28,0,0,9,9,0,6,1,3,2,0,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,7
,,Ishpeming Township,3513,7,2,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Jackson,32332,3701,1391,1793,517,1289,265,892,132,8,7,1,0,0,0,0,8,86,20,18,9,38,0,1,8,0,181,24,495,17,1,174,108,43,12,1,8,2,0,729,0,3,128,88,1,147,16,346,109,32,23,1,295,172,123,0,0,0,0,0,3,0,0,0,0,218
,,Jonesville,2210,137,14,117,6,13,2,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,11,3,0,9,2,3,4,0,0,0,0,82,0,0,44,4,0,16,0,18,3,0,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2
,,Kalamazoo,76411,10521,3673,5679,1169,3495,876,2441,178,14,14,0,0,0,0,0,21,143,52,18,7,64,1,1,64,0,694,45,1254,17,2,404,234,135,5,0,2,27,1,2483,3,12,436,202,0,683,106,1041,483,136,97,5,656,652,4,1,1,0,0,0,4,0,0,0,0,503
,,Kalamazoo Township,24562,1788,523,1191,74,483,106,351,26,2,2,0,0,0,0,0,1,37,10,2,0,25,0,0,5,0,166,14,230,8,0,140,83,37,7,1,0,10,2,510,1,1,103,84,0,184,14,123,98,10,10,1,40,39,1,0,0,0,0,0,6,0,0,0,0,27
,,Kalkaska,2103,77,24,37,16,19,3,10,6,0,0,0,0,0,0,0,0,5,3,1,1,0,0,0,0,0,3,3,6,1,0,7,5,1,0,0,0,1,0,17,0,0,5,4,0,2,0,6,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,3
,,Keego Harbor,3431,75,30,36,9,30,6,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,7,0,0,13,8,0,0,0,0,5,0,10,0,0,0,1,0,1,0,8,0,0,1,0,8,3,5,0,0,0,0,0,0,0,0,0,0,1
,,Kentwood,52263,3313,1210,1930,173,1130,171,767,192,4,4,0,0,1,1,0,3,72,10,6,12,42,0,2,4,0,165,22,312,16,0,277,125,42,92,0,15,3,0,853,2,1,275,77,0,278,12,208,208,26,47,0,58,50,8,0,0,0,0,0,19,1,1,0,0,95
,,Kinde,410,5,4,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Kingsford,4931,56,25,26,5,24,3,20,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,11,0,0,2,0,0,1,0,0,1,0,9,0,0,0,4,0,1,0,4,3,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1
