state,agency_type,agency_name,population_1,total_offenses,crimes_against_persons,crimes_against_property,crimes_against_society,assault_offenses,aggravated_assault,simple_assault,intimidation,homicide_offenses,murder_and_nonnegligent_manslaughter,negligent_man_slaughter,justifiable_homicide,human_trafficking_offenses,commercial_sex_acts,involuntary_servitude,kidnapping_abduction,sex_offenses,rape,sodomy,sexual_assault_with_an_object,fondling,incest,statutory_rape,arson,bribery,burglary_breaking_&_entering,counter_feiting_forgery,destruction_damage_vandalism_of_property,embezzle_ment,extortion_blackmail,fraud_offenses,false_pretenses_swindle_confidence_game,credit_card_automated_teller_machine_fraud,imper_sonation,welfare_fraud,wire_fraud,identity_theft,hacking_computer_invasion,larceny_theft_offenses,pocket_picking,purse_snatching,shop_lifting,theft_from_building,theft_from_coin_op_erated_machine_or_device,theft_from_motor_vehicle,theft_of_motor_vehicle_parts_or_acces_sories,all_other_larceny,motor_vehicle_theft,robbery,stolen_property_offenses,animal_cruelty,drug_narcotic_offenses,drug_narcotic_violations,drug_equipment_violations,gambling_offenses,betting_wagering,operating_promoting_assisting_gambling,gambling_equipment_violations,sports_tampering,por_nography_obscene_material,pros_titution_offenses,pros_titution,assisting_or_promoting_prostitution,purchasing_prostitution,weapon_law_violations
,,Newland,684,42,8,26,8,7,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,8,7,0,1,0,0,0,0,8,0,0,2,0,0,0,0,6,3,1,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0
,,Newport,4646,286,67,141,78,62,2,53,7,0,0,0,0,0,0,0,0,5,1,0,0,2,0,2,0,0,30,4,24,0,0,16,6,6,0,0,1,3,0,59,0,0,14,2,0,7,3,33,3,1,4,2,71,47,24,0,0,0,0,0,2,0,0,0,0,3
,,Newton,13204,1340,254,720,366,248,39,171,38,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,1,0,111,18,139,12,0,70,46,15,4,0,5,0,0,319,0,0,7,8,0,92,25,187,30,3,17,0,345,210,135,0,0,0,0,0,3,0,0,0,0,18
,,North Topsail Beach,743,149,18,58,73,17,2,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,18,0,0,7,6,1,0,0,0,0,0,21,0,0,0,3,0,4,1,13,1,0,0,0,71,35,36,0,0,0,0,0,0,0,0,0,0,2
,,North Wilkesboro,4192,367,64,220,83,60,12,48,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1,1,0,30,20,39,1,0,38,23,8,0,1,1,5,0,74,0,0,13,0,1,3,1,56,14,0,3,0,72,50,22,0,0,0,0,0,0,1,1,0,0,10
,,Oak Island,8581,585,144,254,187,136,13,98,25,1,1,0,0,0,0,0,1,6,1,0,1,4,0,0,1,0,57,4,47,0,4,29,21,2,1,0,1,4,0,100,0,0,4,4,0,14,5,73,11,0,1,0,176,98,78,0,0,0,0,0,3,2,2,0,0,6
,,Oxford,8934,766,235,384,147,230,80,113,37,1,1,0,0,0,0,0,2,2,0,1,0,1,0,0,1,0,39,8,75,1,2,52,30,6,0,0,5,11,0,169,0,0,12,4,0,50,9,94,18,13,6,1,131,101,30,0,0,0,0,0,1,0,0,0,0,14
,,Pembroke,2940,308,27,272,9,21,5,15,1,1,1,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,61,22,4,1,0,35,11,22,0,0,0,2,0,130,0,0,0,3,3,22,1,101,14,5,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,3
,,Pinehurst,16837,574,72,259,243,64,17,41,6,1,1,0,0,0,0,0,1,6,1,1,0,4,0,0,0,1,43,2,29,0,2,61,35,7,1,0,1,15,2,107,0,0,1,6,0,44,3,53,8,1,5,0,217,127,90,0,0,0,0,0,0,0,0,0,0,26
,,Pine Knoll Shores,1325,122,7,49,66,7,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,8,0,0,3,1,2,0,0,0,0,0,19,0,0,0,1,0,5,0,13,0,0,3,0,63,33,30,0,0,0,0,0,0,0,0,0,0,3
,,Pine Level,2059,48,8,37,3,8,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,5,2,1,0,0,0,1,1,10,0,0,0,3,0,1,0,6,1,2,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0
,,Pineville,9214,1875,270,1368,237,256,39,217,0,1,1,0,0,0,0,0,5,8,3,0,1,4,0,0,1,0,77,35,177,14,0,191,87,69,1,0,2,26,6,770,0,0,431,18,4,174,38,105,65,17,21,0,195,114,81,2,1,1,0,0,2,2,2,0,0,36
,,Pittsboro,4440,197,50,127,20,47,10,32,5,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,7,3,26,1,0,17,8,4,0,0,3,2,0,67,0,0,13,1,0,18,1,34,4,2,0,0,20,12,8,0,0,0,0,0,0,0,0,0,0,0
,,Plymouth,3311,391,113,201,77,103,33,55,15,2,1,1,0,0,0,0,4,4,2,1,0,0,0,1,3,0,29,8,73,0,0,12,7,1,0,0,2,2,0,60,0,0,4,1,0,4,0,51,7,3,6,0,66,53,13,0,0,0,0,0,2,0,0,0,0,9
,,Princeton,1423,24,1,16,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0
,,Raeford,4990,282,69,192,21,63,15,48,0,1,1,0,0,0,0,0,1,4,3,0,0,1,0,0,0,0,32,5,31,0,0,20,4,5,0,0,1,10,0,97,0,0,1,8,0,9,0,79,6,1,0,0,18,16,2,0,0,0,0,0,0,0,0,0,0,3
,,Raleigh,482264,24944,6715,13452,4777,6300,1254,3997,1049,22,21,1,0,0,0,0,37,356,145,16,4,173,1,17,50,1,1235,152,640,57,74,2437,1001,732,601,4,98,0,1,7246,44,24,1505,366,7,2495,493,2312,988,470,102,0,3346,2526,820,1,1,0,0,0,104,9,8,1,0,1317
,,Red Springs,3282,396,70,300,26,63,23,39,1,1,1,0,0,0,0,0,2,4,2,0,0,1,0,1,4,0,49,4,67,1,0,25,11,10,0,0,0,4,0,124,0,1,12,8,2,11,3,87,15,7,4,0,23,18,5,0,0,0,0,0,0,0,0,0,0,3
,,Reidsville,13936,2079,640,1124,315,612,116,346,150,6,6,0,0,0,0,0,8,14,4,0,1,8,0,1,0,0,113,21,267,7,1,99,47,40,7,0,1,2,2,544,2,1,216,76,5,70,35,139,53,12,7,4,282,164,118,9,0,6,3,0,3,0,0,0,0,17
,,Richlands,1726,52,12,17,23,11,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,1,0,1,0,1,0,0,0,0,0,9,0,0,0,1,0,0,0,8,2,0,0,0,23,13,10,0,0,0,0,0,0,0,0,0,0,0
,,Roanoke Rapids,14178,1609,230,1058,321,205,106,89,10,7,7,0,0,0,0,0,8,10,7,0,0,2,1,0,9,0,131,22,163,19,1,148,105,11,26,0,0,6,0,498,0,0,141,0,1,93,34,229,22,36,9,1,260,152,108,0,0,0,0,0,1,0,0,0,0,59
,,Robersonville,1328,119,43,73,3,26,9,17,0,1,1,0,0,0,0,0,15,1,1,0,0,0,0,0,0,0,12,1,12,0,0,2,0,0,0,0,0,2,0,40,0,0,3,5,0,6,0,26,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
,,Rockingham,8567,891,148,684,59,132,44,87,1,4,4,0,0,0,0,0,1,11,5,1,0,5,0,0,0,0,100,13,139,0,0,68,43,15,0,0,0,10,0,328,0,2,61,12,1,39,7,206,18,15,3,2,41,32,9,0,0,0,0,0,2,0,0,0,0,14
,,Rockwell,2164,90,8,55,27,5,1,3,1,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,7,5,9,1,1,5,2,3,0,0,0,0,0,22,0,0,3,3,0,6,2,8,3,0,2,0,23,11,12,0,0,0,0,0,0,0,0,0,0,4
,,Rocky Mount,53520,4188,913,2432,843,867,500,351,16,14,13,0,1,0,0,0,8,24,12,0,4,6,0,2,13,0,372,22,468,24,1,212,177,27,1,1,6,0,0,1117,1,1,329,85,3,374,112,212,97,91,15,2,636,523,113,0,0,0,0,0,1,0,0,0,0,204
,,Rolesville,9304,156,34,78,44,33,5,25,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3,20,1,1,11,8,0,1,0,0,2,0,32,0,0,4,3,0,7,1,17,2,0,3,0,40,29,11,0,0,0,0,0,0,0,0,0,0,4
,,Rowland,987,97,20,64,13,20,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,20,0,0,2,0,1,0,0,0,1,0,26,0,0,4,0,0,5,2,15,2,1,1,0,10,9,1,0,0,0,0,0,0,0,0,0,0,3
,,Roxboro,8304,1055,237,573,245,224,69,127,28,1,1,0,0,0,0,0,2,10,2,0,0,6,0,2,2,0,67,28,153,4,0,64,30,14,18,1,1,0,0,236,0,0,23,3,0,34,5,171,7,7,5,0,198,140,58,0,0,0,0,0,1,0,0,0,0,46
,,Salisbury,34045,2861,471,1671,719,437,193,231,13,7,7,0,0,0,0,0,9,18,7,3,0,6,0,2,8,0,171,40,169,15,1,142,73,49,17,0,3,0,0,969,1,0,404,17,2,242,70,233,103,46,7,0,597,471,126,0,0,0,0,0,10,0,0,0,0,112
,,Saluda,695,14,3,6,5,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,1,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0
,,Scotland Neck,1819,186,30,105,51,27,16,6,5,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,28,1,21,0,0,5,1,0,1,0,0,3,0,37,0,0,5,2,0,4,0,26,5,6,1,0,40,31,9,0,0,0,0,0,0,0,0,0,0,11
,,Selma,7218,724,97,379,248,83,38,45,0,1,1,0,0,0,0,0,3,10,1,0,0,5,1,3,2,0,48,6,109,0,0,30,10,13,3,0,0,4,0,141,0,2,35,3,0,41,10,50,20,8,15,0,211,121,90,0,0,0,0,0,1,0,0,0,0,36
,,Siler City,8267,893,189,578,126,168,46,110,12,0,0,0,0,0,0,0,7,14,5,0,0,9,0,0,4,0,49,22,125,47,0,46,29,9,3,0,0,5,0,245,0,2,94,10,2,71,13,53,21,6,13,0,115,56,59,0,0,0,0,0,1,2,0,0,2,8
,,Smithfield,13215,1294,146,755,393,141,47,82,12,0,0,0,0,0,0,0,1,4,0,1,0,1,0,2,5,0,75,30,96,12,2,87,61,12,7,0,1,6,0,407,0,0,213,39,1,64,34,56,18,17,6,0,365,239,126,0,0,0,0,0,0,1,1,0,0,27
,,Snow Hill,1503,87,9,67,11,5,3,2,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,5,18,2,0,14,10,3,0,0,0,1,0,21,0,0,0,2,0,2,3,14,1,1,0,0,10,7,3,0,0,0,0,0,0,0,0,0,0,1
,,Southern Pines,14924,1004,208,497,299,190,46,123,21,1,1,0,0,0,0,0,1,16,6,2,0,8,0,0,4,0,62,6,82,4,0,80,43,9,2,0,6,20,0,231,0,0,27,24,2,60,21,97,12,11,5,0,263,172,91,0,0,0,0,0,2,0,0,0,0,34
,,Southern Shores,2986,126,12,55,59,11,0,10,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,16,0,0,6,2,2,0,0,1,1,0,25,0,0,0,0,0,0,1,24,0,0,1,0,57,32,25,0,0,0,0,0,0,0,0,0,0,2
,,Spencer,3256,144,15,113,16,11,6,5,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,2,0,13,1,26,0,1,9,4,1,0,0,0,4,0,54,0,0,13,1,0,10,0,30,6,0,1,2,11,7,4,0,0,0,0,0,0,0,0,0,0,3
,,Stallings,16426,470,103,321,46,98,7,69,22,0,0,0,0,0,0,0,0,5,1,1,0,3,0,0,1,0,34,14,66,2,0,57,57,0,0,0,0,0,0,130,0,0,3,0,2,55,1,69,12,0,5,0,38,29,9,0,0,0,0,0,1,0,0,0,0,7
,,Stantonsburg,778,57,21,27,9,20,4,13,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,6,0,0,1,0,1,0,0,0,0,0,17,0,0,3,0,1,1,1,11,0,0,0,0,9,7,2,0,0,0,0,0,0,0,0,0,0,0
